City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,Souillac,MU,-20.5167,57.5167,79.18,69,20,8.05,few clouds
245,Saint-Gaudens,FR,43.0833,0.6667,48.13,84,19,5.44,few clouds
246,Stelle,DE,53.3842,10.1114,47.41,99,100,6.82,overcast clouds
247,Champerico,GT,14.3,-91.9167,89.29,67,1,8.14,clear sky
248,Svetlaya,RU,46.5389,138.3297,18.86,57,100,17.72,overcast clouds
249,Malindi,KE,-3.2175,40.1191,79.11,82,15,8.55,light rain
250,Paso De Carrasco,UY,-34.8603,-56.0522,75.65,76,75,4.61,broken clouds
251,Sao Filipe,CV,14.8961,-24.4956,75.54,68,78,6.73,broken clouds
252,Victoria,HK,22.2855,114.1577,66.38,66,53,1.01,broken clouds
253,Xining,CN,36.6167,101.7667,22.28,28,0,1.41,clear sky
254,Bhiwani,IN,28.7833,76.1333,55.38,41,1,4.85,clear sky
255,Batagay,RU,67.6333,134.6333,-40.67,100,97,1.63,overcast clouds
256,La Union,PE,-5.4,-80.75,78.91,54,12,16.93,few clouds
257,Gwadar,PK,25.1216,62.3254,71.01,56,21,8.75,few clouds
258,Beloha,MG,-25.1667,45.05,73.27,84,75,9.89,broken clouds
259,Fort Nelson,CA,58.8053,-122.7002,0.99,78,90,3.44,light snow
260,Great Falls,US,47.5002,-111.3008,46.69,62,90,17.27,overcast clouds
261,Thinadhoo,MV,0.5333,72.9333,80.31,76,97,6.85,overcast clouds
262,Lata,PT,40.1629,-8.3327,57.61,78,18,3.96,few clouds
263,Yulara,AU,-25.2406,130.9889,69.64,88,75,11.5,broken clouds
264,Derzhavinsk,KZ,51.1,66.3167,2.1,94,6,7.94,clear sky
265,Nadym,RU,65.5333,72.5167,-16.19,100,93,4.97,overcast clouds
266,Guymon,US,36.6828,-101.4816,71.55,7,1,17.27,clear sky
267,Kayes,ML,14.0,-11.0,85.35,11,41,4.47,scattered clouds
268,Tapachula,MX,14.9,-92.2833,86.0,60,0,7.45,clear sky
269,East London,ZA,-33.0153,27.9116,71.98,94,100,3.87,moderate rain
270,Bosaso,SO,11.2842,49.1816,76.12,72,2,7.47,clear sky
271,Trelleborg,SE,55.3751,13.1569,41.95,95,100,9.86,overcast clouds
272,Aitape,PG,-3.1374,142.3475,78.71,88,100,5.55,moderate rain
273,Skjervoy,NO,70.0311,20.9714,32.18,97,100,11.16,light snow
274,Ajaccio,FR,42.0,8.9167,41.05,75,0,6.91,clear sky
275,Fukue,JP,32.6881,128.8419,46.8,69,56,27.56,broken clouds
276,Briancon,FR,44.9,6.65,34.95,75,4,1.95,clear sky
277,Ponta Do Sol,PT,32.6667,-17.1,67.01,78,68,2.42,broken clouds
278,Oranjestad,AW,12.524,-70.027,84.15,70,75,10.36,broken clouds
279,Asau,RO,46.4333,26.4,39.96,85,100,4.03,overcast clouds
280,Moramanga,MG,-18.9333,48.2,63.5,91,60,2.37,broken clouds
281,Thaba-Tseka,LS,-29.522,28.6084,59.83,70,100,3.58,light rain
282,Zhigansk,RU,66.7697,123.3711,-39.19,100,99,5.17,overcast clouds
283,Kasempa,ZM,-13.4584,25.8338,71.69,48,82,5.37,broken clouds
284,Nelson Bay,AU,-32.7167,152.15,65.95,85,88,1.99,overcast clouds
285,Lipin Bor,RU,60.2622,37.9763,20.19,95,98,8.1,overcast clouds
286,Redcliffe,AU,-27.2307,153.0973,69.15,88,20,8.05,few clouds
